URL,Core Vitals Assessment,First Contentful Paint (FCP),Largest Contentful Paint (LCP),Cumulative Layout Shift (CLS),Total Blocking Time (TBT),Speed Index,Timestamp (UTC)
https://www.anxietyuk.org.uk/anxiety-type/claustrophobia/,SLOW,1.0 s (SLOW),1.6 s (SLOW),0.004 (FAST),480 ms,2.9 s,2025-07-05T12:41:07.988Z
https://www.anxietyuk.org.uk/anxiety-type/compulsive-skin-picking/,SLOW,0.9 s (SLOW),1.5 s (SLOW),0.004 (FAST),450 ms,4.8 s,2025-07-05T12:41:41.038Z
https://www.anxietyuk.org.uk/anxiety-type/dental-phobia/,SLOW,0.8 s (SLOW),5.9 s (SLOW),0.004 (FAST),680 ms,3.6 s,2025-07-05T12:42:27.786Z
https://www.anxietyuk.org.uk/anxiety-type/depersonalisation/,SLOW,1.0 s (SLOW),1.8 s (SLOW),0.004 (FAST),350 ms,2.8 s,2025-07-05T12:43:07.576Z
https://www.anxietyuk.org.uk/anxiety-type/emetophobia/,SLOW,0.8 s (SLOW),1.6 s (SLOW),0.004 (FAST),520 ms,2.9 s,2025-07-05T12:43:42.004Z
https://www.anxietyuk.org.uk/anxiety-type/fear-of-flying/,SLOW,0.9 s (SLOW),1.5 s (SLOW),0.004 (FAST),580 ms,4.2 s,2025-07-05T12:44:25.437Z
https://www.anxietyuk.org.uk/anxiety-type/generalised-anxiety-disorder/,SLOW,0.8 s (SLOW),6.3 s (SLOW),0.002 (FAST),"1,200 ms",5.2 s,2025-07-05T12:45:05.633Z
https://www.anxietyuk.org.uk/anxiety-type/health-anxiety/,SLOW,0.8 s (SLOW),1.7 s (SLOW),0.004 (FAST),330 ms,3.4 s,2025-07-05T12:45:50.741Z
https://www.anxietyuk.org.uk/anxiety-type/compulsive-hoarding/,SLOW,0.8 s (SLOW),1.7 s (SLOW),0.004 (FAST),440 ms,3.4 s,2025-07-05T12:46:24.184Z
https://www.anxietyuk.org.uk/anxiety-type/injection-phobia/,SLOW,1.0 s (SLOW),1.6 s (SLOW),0.004 (FAST),640 ms,2.9 s,2025-07-05T12:46:58.215Z
https://www.anxietyuk.org.uk/anxiety-type/irritable-bowel-syndrome/,SLOW,0.8 s (SLOW),1.8 s (SLOW),0.004 (FAST),370 ms,3.2 s,2025-07-05T14:40:42.201Z
https://www.anxietyuk.org.uk/anxiety-type/ocd/,SLOW,1.0 s (SLOW),1.9 s (SLOW),0.004 (FAST),690 ms,2.7 s,2025-07-05T12:49:38.029Z
https://www.anxietyuk.org.uk/anxiety-type/panic-disorder/,SLOW,0.8 s (SLOW),1.6 s (SLOW),0.004 (FAST),560 ms,3.1 s,2025-07-05T12:50:18.806Z
https://www.anxietyuk.org.uk/anxiety-type/perinatal-anxiety/,SLOW,1.0 s (SLOW),6.2 s (SLOW),0.004 (FAST),640 ms,5.8 s,2025-07-05T12:50:56.772Z
https://www.anxietyuk.org.uk/anxiety-type/phobias/,SLOW,1.0 s (SLOW),2.1 s (SLOW),0.004 (FAST),950 ms,3.3 s,2025-07-05T12:51:35.254Z
https://www.anxietyuk.org.uk/anxiety-type/sad/,SLOW,0.8 s (SLOW),6.3 s (SLOW),0.004 (FAST),690 ms,4.0 s,2025-07-05T12:52:14.767Z
https://www.anxietyuk.org.uk/anxiety-type/separation-anxiety-children/,SLOW,1.0 s (SLOW),1.7 s (SLOW),0.004 (FAST),500 ms,2.6 s,2025-07-05T12:52:52.325Z
https://www.anxietyuk.org.uk/anxiety-type/separation-anxiety-adult/,SLOW,1.0 s (SLOW),1.3 s (SLOW),0.004 (FAST),310 ms,2.6 s,2025-07-05T12:53:23.287Z
